User,Username,User Description,Followers Count,Friends Count,Time,Tweet,Location,Retweeted Tweet,Retweet Count,Fav Count
hanukkalex,shitshowdotinfo,"this is my linkedin page  , brutalism, nhl",1181,1247,Mon Dec 12 03:03:43 +0000 2016,"RT @katherinejnowak: neera has yet to respond with specific errors the dems + hillary's team made; help her out, fam https://t.co/oVuhu75yDS","Brooklyn, NY",Yes,4,0
(((Xii))),grownfairytale,"Criminology student with a focus on human trafficking/int'l human rights.
More politically minded than might be obvious.
I like it when you talk theatre to me",195,263,Mon Dec 12 03:03:43 +0000 2016,RT @kashanacauley: It's a shame Hillary didn't connect with white Russian working class voters.,,Yes,1880,0
farmgurl,farmgurl3,,196,210,Mon Dec 12 03:03:43 +0000 2016,"RT @immigrant4trump: Hillary ""Liar of the Year""  Blames Fake News, and Russia for Lost, Electoral Landslide Loss to Trump 308 VS 232 #mag",,Yes,167,0
N$,Hillary_nataly,Una pasion llamada Hip Hop me hace libre  Neutro$,1264,916,Mon Dec 12 03:03:42 +0000 2016,"RT @_Concubinato: Alguien ya escucho ""ya no mas"" version acustico de @MicroTDH ? que clases de rap, sos un fenomeno pai",Hip Hop,Yes,3,0
susan price,sbprice,"Rockies and Broncos Fan, Mother, Attorney, Conservative thinker.",1213,1615,Mon Dec 12 03:03:42 +0000 2016,RT @Ian56789: Remember when Russian Hackers forced Hillary to wipe her server after being served with a Congressional Sub Poena to preserve,"Denver, Colorado",Yes,40,0
Raytronix Sales,RaytronixSales,"We sell Hi-tech Electronics & Gadgets! Wearable Tech, IoT, Drones, Gaming, SmartWatch, Audio, VR, 3D, Smartphone Accessories & more! New website coming soon!",110605,83376,Mon Dec 12 03:03:42 +0000 2016,RT @Bryan700: Democrats Attack Donald Trump's Legitimacy After The Baseless Reports Hillary Lost Due to Russian Hackers.,"Rome, NY , USA",Yes,1,0
Loved ,RayneNGrace,"Christian, Married, Conservative, Love God, Love America, God Bless the USA, Blessed & Grateful",198,932,Mon Dec 12 03:03:42 +0000 2016,"@dcexaminer Just stop.  Not true.  Hillary is not President because of Hillary, her corruption, the evil in the DNC, the egos.  #FakeNews","Loved,  USA",No,0,0
Jason Kost,KostJason,"Right wing malcontent, Oregon Salmon slayer, Zealot Trump 2016 supporter and legend in my spare time. America First!",1404,1752,Mon Dec 12 03:03:41 +0000 2016,"RT @JustinRaimondo: Mr. President, you defeated the media just as you defeated Hillary &amp; they'll never forgive you. Not to worry - your vic","Astoria, OR",Yes,35,0
Susan Stewart,SusanSt08942260,"Christian Conservative, Wife, Grandmother, Healthcare Worker, Love Vets, Sick of RINOs. Transplanted from Chicago to beautiful Arkansas - thank God!",1355,2189,Mon Dec 12 03:03:41 +0000 2016,"RT @CronkiteSays: REAL NEWS
We've completed an extensive analysis into why Hillary lost and have determined Hillary caused Hillary to lose",,Yes,429,0
Bayside Decals,constantino_sam,Bayside Decals,4547,4441,Mon Dec 12 03:03:41 +0000 2016,DOES THIS ASS MAKE MY TRUCK - ANTI HILLARY PRO TRUMP POLITICAL BUMPER STICKER https://t.co/CZwvohqldH,Worldwide,No,0,0
Paula Rhodes,Mistysmom1,"#JusticeforHarambe.Loves God,USA, NRA, Conservative. Postcards, Cat,Giant Schnauzers, Koi, chickens, garden ponds, salt/freshwater fish. Likes fishing",7198,7793,Mon Dec 12 03:03:40 +0000 2016,RT @Atrustynote: @ANOMALY1 one more time --Hillary Is going back to Arkansas https://t.co/qMNMmtblKG,Oklahoma City,Yes,71,0
Jersey Girl in Texas,jopoleski,Jersey girl stuck in Texas and not happy about it Proud Liberal Atheist,1164,1112,Mon Dec 12 03:03:40 +0000 2016,RT @randyprine: Comey opposed outing Russians close to the election but destroying Hillary was fair game. SMH  https://t.co/qMuLvK4WEm,"Texas, USA",Yes,237,0
Rick Reese,KingTurd63,,224,166,Mon Dec 12 03:03:40 +0000 2016,RT @LindaSuhler: Only credible link to Russia is Hillary's -- who made herself RICH when she transferred 20% of our uranium to Putin...FOR,"California, USA",Yes,839,0
Apple,aplemkseriously,"Writer, Producer, Progressive!",2186,2130,Mon Dec 12 03:03:40 +0000 2016,RT @randyprine: Comey opposed outing Russians close to the election but destroying Hillary was fair game. SMH  https://t.co/qMuLvK4WEm,,Yes,237,0
Jim McCasland,textifyer59,"Neuroscience Prof. Emeritus, new focus on global issues, positive path, innovative solutions. #Climate #SDG #impinv. #Gender, Co-Founder #WomenRising w/@PH_D888",2712,4995,Mon Dec 12 03:03:39 +0000 2016,"RT @geordielester: russia shouldn't choose the president of the united states. americans should choose, and america chose hillary. this mes",,Yes,8,0
Jay Burdett,jjburdett,AMERICA WON! Excited Conservative Catholic #MAGA #draintheswamp blocked by @HillaryClinton Followed by @seanhannity and @alvedaking,18250,17069,Mon Dec 12 03:03:39 +0000 2016,"RT @bfraser747: ""It was PresidentObama, along with Hillary Clinton, that came up with the 'Russian reset button"" ~ @AllenWest

#JudgeJeani","Henderson, NV",Yes,201,0
Becca B_B,reblor,"Equal Rights For All. Liberal Democrat. Finally married the love of my life, she made me her Wife. Spiritual but Not religious.",845,1949,Mon Dec 12 03:03:39 +0000 2016,RT @randyprine: Comey opposed outing Russians close to the election but destroying Hillary was fair game. SMH  https://t.co/qMuLvK4WEm,"Gulf Coast,USA",Yes,237,0
Meeko Moore,Tymeeks98,"Meeko from Compton is a Sports expert in , &, a Bible scholar, and a Social genius, NBA-Lakers, NFL-Raiders, MLB-Dodgers, CFB-USC Trojans, Jackson State U",616,2764,Mon Dec 12 03:03:38 +0000 2016,@tech2eets @Mitch_John573 Didn't Mexico help Hillary in the election? ,"Compton, CA",No,0,0
#ShesOurPresident,MrJamesonNeat,#ShesOurPresident #ShesOurPresident #ShesOurPresident #ShesOurPresident #ShesOurPresident #ShesOurPresident,6357,5213,Mon Dec 12 03:03:38 +0000 2016,RT @ArianeBellamar:  b4 Partisan! Electoral College: Make Hillary Clinton President on December 19 - Sign the Petition! https://t.co/CMOS,California,Yes,5,0
